annee,mois,Hydro,Nuclear,Thermical,Conso_pompes_STEP,Prod_nette,Imports,Exports,Conso_CH,Pertes,Conso_Finale_CH
2013,1,3 112,2 421,343.0,101.0,5 775,3 240,2 834,6 181,389.0,5 792
2013,2,3 003,2 214,342.0,69.0,5 490,3 271,2 922,5 839,411.0,5 428
2013,3,2 333,2 437,369.0,87.0,5 052,3 268,2 399,5 921,408.0,5 513
2013,4,2 419,2 352,341.0,124.0,4 988,2 362,2 182,5 168,391.0,4 777
2013,5,4 038,1 713,332.0,146.0,5 937,1 826,2 837,4 926,353.0,4 573
2013,6,3 983,1 555,300.0,253.0,5 585,1 691,2 566,4 710,316.0,4 394
2013,7,4 416,1 817,314.0,308,6239,1 601,3 146,4 694,352.0,4 342
2013,8,4 035,1 710,294.0,272,5767,1 540,2 646,4 661,344.0,4 317
2013,9,3 097,1 328,280.0,245,4460,2 345,2 048,4 757,332.0,4 425
2013,10,2 953,2 454,299.0,199,5507,2 536,2 823,5 220,379.0,4 841
2013,11,3 297,2 394,318.0,138,5871,2 862,3 052,5 681,382.0,5 299
2013,12,2 886,2 476,337.0,190,5509,3 332,2 815,6 026,404.0,5 622
2014,1,2 509,2 469,326.0,154.0,5 150,3 525,2 636,6 039,380.0,5 659
2014,2,2 518,2 233,304.0,122.0,4 933,3 360,2 816,5 477,386.0,5 091
2014,3,2 776,2 459,378.0,126.0,5 487,3 248,3 151,5 584,385.0,5 199
2014,4,2 932,2 257,319.0,140.0,5 368,1 818,2 344,4 842,366.0,4 476
2014,5,3 525,2 449,318.0,226.0,6 066,1 531,2 730,4 867,349.0,4 518
2014,6,3 975,1 659,309.0,337.0,5 606,1 596,2 657,4 545,305.0,4 240
2014,7,4 430,2 122,337.0,313,6576,1 480,3 409,4 647,348.0,4 299
2014,8,4 134,1 466,315.0,331,5584,1 532,2 539,4 577,338.0,4 239
2014,9,3 174,1 956,309.0,227,5212,2 064,2 500,4 776,333.0,4 443
2014,10,2 963,2 441,344.0,143,5605,2 614,3 046,5 173,376.0,4 797
2014,11,3 246,2 385,332.0,119,5844,2 708,3 161,5 391,362.0,5 029
2014,12,3 126,2 474,364.0,117,5847,3 054,3 032,5 869,393.0,5 476
2015,1,3 110,2 430,367.0,79.0,5 828,3 799,3 437,6 190,390.0,5 800
2015,2,2 884,2 235,370.0,70.0,5 419,3 432,3 045,5 806,409.0,5 397
2015,3,2 500,2 299,363.0,122.0,5 040,3 381,2 742,5 679,392.0,5 287
2015,4,2 704,2 010,334.0,136.0,4 912,2 624,2 592,4 944,374.0,4 570
2015,5,4 078,2 172,349.0,278.0,6 321,1 176,2 747,4 750,340.0,4 410
2015,6,4 585,1 494,335.0,284.0,6 130,1 475,2 987,4 618,310.0,4 308
2015,7,4 314,1 899,359.0,325,6247,1 848,3 406,4 689,351.0,4 338
2015,8,3 517,1 032,344.0,329,4564,2 229,2 152,4 641,342.0,4 299
2015,9,3 241,1 261,331.0,246,4587,2 683,2 446,4 824,337.0,4 487
2015,10,3 278,1 478,387.0,134,5009,3 377,3 104,5 282,384.0,4 898
2015,11,2 825,1 800,416.0,101,4940,3 815,3 321,5 434,365.0,5 069
2015,12,2 450,1 985,421.0,192,4664,4 194,3 089,5 769,386.0,5 383
2016,1,2 236,2 200,431.0,214.0,4 653,4 110,2 728,6 035,380.0,5 655
2016,2,2 401,2 056,452.0,124.0,4 785,3 817,2 924,5 678,400.0,5 278
2016,3,2 356,2 195,468.0,166.0,4 853,3 853,2 953,5 753,397.0,5 356
2016,4,2 931,2 115,416.0,195.0,5 267,2 299,2 543,5 023,380.0,4 643
2016,5,3 396,2 162,384.0,284.0,5 658,1 608,2 449,4 817,345.0,4 472
2016,6,4 545,1 508,370.0,317.0,6 106,1 326,2 819,4 613,309.0,4 304
2016,7,4 228,2 061,391.0,385,6295,1 728,3 489,4 534,339.0,4 195
2016,8,3 608,973,405.0,344,4642,2 405,2 480,4 567,337.0,4 230
2016,9,3 189,1 143,416.0,255,4493,2 662,2 500,4 655,325.0,4 330
2016,10,2 304,1 280,431.0,257,3758,3 142,1 644,5 256,382.0,4 874
2016,11,2 328,1 250,448.0,223,3803,3 671,1 834,5 640,379.0,5 261
2016,12,2 804,1 292,443.0,158,4381,3 475,1 810,6 046,405.0,5 641
2017,1,3 199,1 293,437.0,199.0,4 730,3 832,2 002,6 560,413.0,6 147
2017,2,1 725,1 369,465.0,246.0,3 313,4 100,1 939,5 474,386.0,5 088
2017,3,2 404,2 129,522.0,289.0,4 766,3 632,2 869,5 529,382.0,5 147
2017,4,2 323,2 059,434.0,240.0,4 576,2 401,2 145,4 832,366.0,4 466
2017,5,3 245,2 101,449.0,372.0,5 423,1 953,2 520,4 856,348.0,4 508
2017,6,4 222,1 360,452.0,475.0,5 559,1 808,2 759,4 608,309.0,4 299
2017,7,3 829,2 017,433.0,482,5797,2 078,3 300,4 575,342.0,4 233
2017,8,3 927,1 706,415.0,453,5595,1 825,2 730,4 690,346.0,4 344
2017,9,3 155,1 340,411.0,362,4544,2 564,2 313,4 795,335.0,4 460
2017,10,2 567,1 287,421.0,366,3909,3 831,2 626,5 114,372.0,4 742
2017,11,3 081,1 252,425.0,354,4404,4 022,2 701,5 725,385.0,5 340
2017,12,2 989,1 586,458.0,322,4711,4 450,3 042,6 119,410.0,5 709
2018,1,2 713,2 060,447.0,261.0,4 959,3 734,2 782,5 911,372.0,5 539
2018,2,3 006,1 867,450.0,161.0,5 162,3 788,3 202,5 748,406.0,5 342
2018,3,2 343,2 148,427.0,281.0,4 637,3 708,2 462,5 883,406.0,5 477
2018,4,2 699,2 244,482.0,413.0,5 012,2 166,2 457,4 721,358.0,4 363
2018,5,4 368,2 300,501.0,462.0,6 707,1 075,3 042,4 740,340.0,4 400
2018,6,4 595,1 633,534.0,456.0,6 306,1 118,2 788,4 636,311.0,4 325
2018,7,3 946,2 175,504.0,317,6308,1 614,3 333,4 589,343.0,4 246
2018,8,3 540,2 088,484.0,356,5756,1 548,2 736,4 568,337.0,4 231
2018,9,2 664,1 736,493.0,404,4489,2 168,2 039,4 618,323.0,4 295
2018,10,2 417,1 553,477.0,235,4212,3 679,2 731,5 160,375.0,4 785
2018,11,2 500,2 241,451.0,307,4885,2 926,2 263,5 548,373.0,5 175
2018,12,2 637,2 369,466.0,334,5138,3 496,2 772,5 862,393.0,5 469
2019,1,3 047,2 373,463.0,220.0,5 663,3 520,2 953,6 230,392.0,5 838
2019,2,2 216,2 088,495.0,200.0,4 599,3 404,2 531,5 472,386.0,5 086
2019,3,2 249,2 375,492.0,334.0,4 782,3 340,2 562,5 560,384.0,5 176
2019,4,2 699,2 259,442.0,313.0,5 087,2 248,2 430,4 905,372.0,4 533
2019,5,3 139,2 038,538.0,384.0,5 331,2 055,2 419,4 967,356.0,4 611
2019,6,4 809,919,564.0,601.0,5 691,1 724,2 913,4 502,302.0,4 200
2019,7,5 074,2 047,574.0,428,7267,1 210,3 943,4 534,339.0,4 195
2019,8,4 819,1 954,525.0,338,6960,1 185,3 691,4 454,329.0,4 125
2019,9,3 057,2 163,502.0,386,5336,2 154,2 886,4 604,322.0,4 282
2019,10,3 268,2 441,488.0,394,5803,2 765,3 480,5 088,370.0,4 718
2019,11,3 153,2 373,477.0,248,5755,2 876,3 144,5 487,369.0,5 118
2019,12,3 026,2 250,498.0,287,5487,3 024,2 813,5 698,382.0,5 316
2020,1,3 219,2187,388,206,5 689,3 259,3 076,5 872,369,5 503
2020,2,2 736,2047,381,232,5 076,3 232,2 973,5 335,376,4 959
2020,3,3 005,2185,326,300,5 459,2 570,2 709,5 320,364,4 956
2020,4,2 778,1974,273,429,4 939,1 764,2 285,4 418,335,4 083
2020,5,3 671,1944,282,600,5 668,1 607,2 696,4 579,328,4 251
2020,6,4 181,1476,257,487,5 762,1 254,2 522,4 494,302,4 192
2020,7,4 393,1 249,324.0,414,5 952,1 587,2 990,4549,340.0,4 209
2020,8,3 889,1 626,312.0,508,5 641,1 482,2 574,4 549,336.0,4 213
2020,9,3 364,2 067,285.0,385,5 595,1 582,2 547,4 630,324.0,4 306
2020,10,3 431,2 164,297.0,425,5 626,2 422,2 837,5 211,379.0,4 832
2020,11,3 010,2 103,382.0,203,5 392,2 877,2 839,5 430,365.0,5 065
2020,12,2 939,1 968,381.0,270,5 073,3 352,2 500,5 925,397.0,5 528
2021,1,3 273,2147,325,274,5 524,3 258,2 648,6 134,386,5 748
2021,2,2 772,1946,326,212,4 966,2 876,2 508,5 334,376,4 958
2021,3,2 696,2174,366,204,5 301,2 954,2 592,5 663,388,5 275
2021,4,2 287,2104,333,322,4 776,2 330,2 042,5 064,384,4 680
2021,5,3 250,1576,292,506,5 001,1 950,2 001,4 950,355,4 595
2021,6,4 792,629,276,411,5 723,1 675,2 718,4 680,315,4 365
2021,7,4 947,1 258,303.0,433,6 458,1 730,3 394,4794,358.0,4 436
2021,8,4 463,1 040,294.0,404,5 759,1 958,3 067,4 650,343.0,4 307
2021,9,3 103,1 119,256.0,325,4 471,2 531,2 247,4 755,333.0,4 422
2021,10,2 402,1 277,325.0,327,3 907,3 457,2 102,5 262,383.0,4 879
2021,11,2 877,1 227,358.0,309,4 244,3 433,1 871,5 806,391.0,5 415
2021,12,2 638,2 033,365.0,418,4 683,3 380,1 929,6 134,411.0,5 723
2022,1,2 689,2205,368,317,5 064,3 395,2 271,6 188,389,5 799
2022,2,2 019,1989,336,303,4 248,3 631,2 346,5 533,390,5 143
2022,3,2 076,2191,337,292,4 682,3 566,2 522,5 726,392,5 334
2022,4,2 384,2104,296,374,4 831,2 495,2 251,5 075,385,4 690
2022,5,3 448,1644,283,423,5 484,2 062,2 645,4 901,351,4 550
2022,6,3 787,746,279,451,4 906,2 238,2 373,4 771,321,4 450
2022,7,3 671,1 706,309.0,624,5 691,2 228,3 130,4789,357.0,4 432
2022,8,3 233,1 966,256.0,597,5 393,1 960,2 623,4 730,349.0,4 381
2022,9,2 730,2 071,269.0,504,4 933,2 338,2 521,4 750,333.0,4 417
2022,10,2 655,2 170,299.0,604,4 785,2 539,2 502,4 822,351.0,4 471
2022,11,2 159,2 121,330.0,485,4 275,3 382,2 410,5 247,353.0,4 894
2022,12,2 650,2 200,327.0,593,4 661,3 283,2 140,5 804,389.0,5 415
2023,1,3 078,2202,337,385,5 324,3 396,2 826,5 894,371,5 523
2023,2,2 421,1983,338,303,4 680,3 320,2 674,5 326,375,4 951
2023,3,2 735,2191,322,355,5 255,2 684,2 410,5 529,379,5 150
2023,4,2 391,2119,294,417,4 859,2 423,2 344,4 938,375,4 563
2023,5,3 800,1021,300,510,5 216,1 962,2 459,4 719,338,4 381
2023,6,4 216,1337,247,509,6 066,1 484,2 894,4 656,313,4 343
2023,7,4 057,2 124,286.0,653,6 520,1 545,3 497,4568,340.0,4 228
2023,8,4 054,1 884,269.0,493,6 318,1 393,3 021,4 690,346.0,4 344
2023,9,3 865,1 961,264.0,465,6 190,1 387,2 962,4 615,323.0,4 292
2023,10,3 185,2 180,296.0,414,5 616,2 234,2 931,4 919,358.0,4 561
2023,11,3 727,2 126,292.0,354,5 960,2 525,3 043,5 442,366.0,5 076
2023,12,3 251,2 206,302.0,517,5 365,3 109,2 795,5 679,381.0,5 298
2024,1,3 893,2204,312,326,6 228,2 966,3 209,5 985,377,5 608
2024,2,3 154,2056,313,291,5 519,2 994,3 189,5 324,375,4 949
2024,3,3 374,2194,322,232,6 113,2 473,3 174,5 412,371,5 041
2024,4,3 421,2013,287,468,5 886,1 836,2 722,5 000,379,4 621
2024,5,4 410,808,286,438,5 816,1 991,2 987,4 820,346,4 474
2024,6,4 933,1251,269,632,6 603,1 513,3 459,4 657,313,4 344
2024,7,5 950,2 142,303.0,591,8 732,981,4 977,4 736,352.0,4 384
2024,8,4 951,2 003,280.0,423,7 700,1 304,4 273,4 731,349.0,4 382
2024,9,3 511,2 067,279.0,373,6 049,1 838,3 190,4 697,329.0,4 368
2024,10,4 260,1 917,308.0,397,6 430,1 717,3 155,4 992,363.0,4 629
2024,11,3 377,2 124,316.0,365,5 664,2 878,3 026,5 516,371.0,5 145
2024,12,3 103,2 204,327.0,281,5 497,3 464,2 993,5 968,401.0,5 567
