,Carbon intensity,Human carcinogenic toxicity,Fine particulate matter formation,Land use
Mix_Other,0.044778542,0.0005075016,4.5782442e-09,0.00027045094
Biomass_AT,0.03860027912,4.846799999999999e-10,9.192799999999999e-09,22.88255181256
Fossil_Gas_AT,0.775447716,2.63e-11,3.05e-09,0.025734177
Fossil_Hard_coal_AT,1.014057784,4.52e-11,2.35e-09,1.284087337
Fossil_Oil_AT,0.918557431,1.17e-10,1.45e-08,0.582401865
Geothermal_AT,0.012834636,5.37e-11,6.07e-10,0.235559489
Hydro_Pumped_Storage_AT,0.237643182,1.15e-10,2.06e-09,1.497970678
Hydro_Run-of-river_and_poundage_AT,0.003794978,6.84e-12,1.91e-10,-0.017123167
Hydro_Water_Reservoir_AT,0.004308562,6.5e-12,2.29e-10,-0.065338643
Other_fossil_AT,0.936136221,1.16e-08,2.05e-08,1.714426136
Other_renewable_AT,0.012834636,5.37e-11,6.07e-10,0.235559489
Waste_AT,0.0,0.0,0.0,0.0
Wind_Onshore_AT,0.012834636,5.37e-11,6.07e-10,0.235559489
Solar_AT,0.035619242,2e-11,2.96e-09,0.099950371
Biomass_CH,0.035619242,2e-11,2.9599999999999997e-09,0.09995037099999998
Fossil_Gas_CH,0.59716695,3.96e-11,1.68e-09,0.028621163
Hydro_Pumpage_CH,0.0,0.0,0.0,0.0
Hydro_Pumped_Storage_CH,0.027825628,0.0068134508,1.4525581e-09,6.1467053e-05
Hydro_Run-of-river_and_poundage_CH,0.0039603558,6.776e-12,2.176e-10,-0.012735803200000001
Hydro_Water_Reservoir_CH,0.003956574,6.43e-12,2.3e-10,-0.065518995
Residual_Hydro_Run-of-river_and_poundage_CH,0.0039603558,6.776e-12,2.176e-10,-0.012735803200000001
Residual_Hydro_Water_Reservoir_CH,0.003956574,6.43e-12,2.3e-10,-0.065518995
Nuclear_CH,0.015522264720000001,1.3759e-11,5.4036e-09,0.033884903169999994
Waste_CH,0.0,0.0,0.0,0.0
Wind_Onshore_CH,0.01954248,9.47e-11,9.47e-10,0.55442272
Solar_CH,0.037603231,2.09e-11,3.17e-09,0.10176507
Residual_Other_CH,0.01954248,9.47e-11,9.47e-10,0.55442272
Biomass_CZ,0.03635682722,5.155800000000001e-10,9.506800000000001e-09,24.37885438911
Fossil_Brown_coal/Lignite_CZ,1.176381954,8.78e-11,3.01e-09,0.06480526
Fossil_Coal-derived_gas_CZ,1.653909295,3.54e-09,1.06e-08,0.526449661
Fossil_Gas_CZ,0.885397859,3.02e-11,3.89e-09,0.034670824
Fossil_Hard_coal_CZ,1.347526872,7.73e-11,3.03e-09,1.73162732
Fossil_Oil_CZ,1.30482330174,1.2651600000000002e-09,5.6763e-08,0.8185049506000001
Hydro_Pumped_Storage_CZ,1.005525003,1.75e-10,3.93e-09,0.13473572
Hydro_Run-of-river_and_poundage_CZ,0.003794978,6.84e-12,1.91e-10,-0.017123167
Hydro_Water_Reservoir_CZ,0.004584409,6.5e-12,2.29e-10,-0.711040835
Nuclear_CZ,0.008200715,1.52e-11,2.57e-10,0.021743077
Other_fossil_CZ,1.653909295,3.54e-09,1.06e-08,0.526449661
Other_renewable_CZ,0.012834636,5.37e-11,6.07e-10,0.235559489
Waste_CZ,0.0,0.0,0.0,0.0
Wind_Onshore_CZ,0.012834636,5.37e-11,6.07e-10,0.235559489
Solar_CZ,0.038782692,2.51e-11,3.27e-09,-0.073831819
Biomass_DE,0.0953602577,3.075e-11,3.4525000000000006e-09,0.1559117934
Fossil_Brown_coal/Lignite_DE,1.224356578,9.35e-11,1.45e-09,0.080920601
Fossil_Coal-derived_gas_DE,1.1857003,4.74e-09,1.09e-08,0.702897611
Fossil_Gas_DE,0.573768976,1.71e-11,1.78e-09,0.024560733
Fossil_Hard_coal_DE,1.139546595,7.81e-11,3.24e-09,1.2754618
Fossil_Oil_DE,1.2221075742000003,1.2619200000000001e-09,3.5303999999999996e-08,0.77443985624
Geothermal_DE,0.012834636,5.37e-11,6.07e-10,0.235559489
Hydro_Pumped_Storage_DE,0.704768912,2e-10,3.1e-09,1.6207262
Hydro_Run-of-river_and_poundage_DE,0.003794978,6.84e-12,1.91e-10,-0.017123167
Hydro_Water_Reservoir_DE,0.004308562,6.5e-12,2.29e-10,-0.065338643
Nuclear_DE,0.01006580454,1.3905e-11,2.4283000000000003e-10,0.022349415759999998
Other_fossil_DE,1.1857003,4.74e-09,1.09e-08,0.702897611
Other_renewable_DE,0.012770521,5.36e-11,6.05e-10,0.240056408
Waste_DE,0.0,0.0,0.0,0.0
Wind_Offshore_DE,0.015976229,5.51e-11,7.01e-10,0.015210476
Wind_Onshore_DE,0.012770521,5.36e-11,6.05e-10,0.240056408
Solar_DE,0.039889033,2.47e-11,3.35e-09,-0.015021533
Biomass_FR,0.04218980216,4.3524000000000004e-10,8.6904e-09,20.48846769008
Fossil_Coal-derived_gas_FR,1.452220801,1.03e-09,6.19e-09,0.154508377
Fossil_Gas_FR,0.519111271,1.75e-11,2.16e-09,0.045346745
Fossil_Hard_coal_FR,1.066941093,1.06e-10,1.05e-08,1.241523618
Fossil_Oil_FR,0.8413346549699999,1.14705e-09,6.029700000000001e-08,0.53553225472
Geothermal_FR,0.012834636,5.37e-11,6.07e-10,0.235559489
Hydro_Pumped_Storage_FR,0.077970814,3.97e-11,1.34e-09,0.157726706
Hydro_Run-of-river_and_poundage_FR,0.003794978,6.84e-12,1.91e-10,-0.017123167
Hydro_Water_Reservoir_FR,0.004308562,6.5e-12,2.29e-10,-0.065338643
Nuclear_FR,0.006530861,1.59e-11,2.59e-10,0.020680998
Waste_FR,0.0,0.0,0.0,0.0
Wind_Offshore_FR,0.012834636,5.37e-11,6.07e-10,0.235559489
Wind_Onshore_FR,0.012834636,5.37e-11,6.07e-10,0.235559489
Solar_FR,0.037774708,2.47e-11,3.18e-09,-0.084187258
Biomass_IT,0.04488194444,3.9816e-10,8.3136e-09,18.692904598219997
Fossil_Coal-derived_gas_IT,1.448185633,1.05e-09,6.2e-09,0.157406162
Fossil_Gas_IT,0.705450362,2.39e-11,3.2e-09,0.046578635
Fossil_Hard_coal_IT,1.028932664,7.37e-11,9.43e-09,1.304603364
Fossil_Oil_IT,0.97622600998,5.577599999999999e-10,7.4202e-08,0.59695724888
Geothermal_IT,0.012834636,5.37e-11,6.07e-10,0.235559489
Hydro_Pumped_Storage_IT,0.891555404,3.86e-10,5.54e-09,0.522441582
Hydro_Run-of-river_and_poundage_IT,0.003794978,6.84e-12,1.91e-10,-0.017123167
Hydro_Water_Reservoir_IT,0.004308562,6.5e-12,2.29e-10,-0.065338643
Other_fossil_IT,1.448185633,1.05e-09,6.2e-09,0.157406162
Waste_IT,0.0,0.0,0.0,0.0
Wind_Offshore_IT,0.012834636,5.37e-11,6.07e-10,0.235559489
Wind_Onshore_IT,0.012834636,5.37e-11,6.07e-10,0.235559489
Solar_IT,0.027985074,1.94e-11,2.37e-09,-0.125844219
Other_renewable_IT,0.012834636,5.37e-11,6.07e-10,0.235559489
Energy_storage_IT,0.0,0.0,0.0,0.0
